HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported
1,0,950,2,38,0,0,1361,0,297,1275,7200,0
0,1,4992,2,13,0,0,0,0,0,0,2200,0
2,0,3043,2,42,0,1263,0,0,0,0,7829,0
2,1,3043,2,2,0,0,0,0,0,0,2500,1
2,0,3043,2,8,0,0,0,0,0,0,8473,1
0,0,5139,2,24,0,556,0,0,0,17,1935,1
1,1,962,2,40,0,0,0,0,0,0,3156,1
0,0,3189,2,43,0,202,0,0,523,436,4399,0
2,1,1988,1,45,0,0,0,0,0,0,7320,1
0,1,5281,2,35,0,0,0,0,0,0,3842,1
0,1,5303,2,26,0,1273,0,0,0,0,2161,1
0,0,3426,2,27,0,1,535,31,181,0,7748,0
0,0,6402,2,19,0,0,0,556,1,34,3487,0
0,1,6402,2,0,0,0,0,1115,0,0,7232,1
0,1,6402,2,3,0,0,0,0,0,0,7743,1
1,0,24,2,54,0,0,785,0,3,533,164,0
0,0,4710,2,26,0,0,649,5,32,0,2394,0
0,0,4710,2,26,0,0,1108,748,0,87,4850,1
0,0,3407,1,23,0,283,353,440,37,0,295,0
0,2,4848,2,2,0,0,0,0,0,0,7695,1
2,1,6560,2,31,0,0,0,0,0,0,1261,1
0,0,3471,2,18,0,0,0,0,673,91,6653,0
0,0,3485,2,24,0,0,1507,0,0,17,725,1
0,1,5331,0,9,0,0,0,0,0,0,6989,1
0,1,5331,2,6,0,0,0,0,0,0,2975,0
0,2,3442,2,27,0,0,0,475,2,129,1545,0
2,0,1182,2,21,0,1022,5,17,0,0,1901,0
0,1,5348,2,23,0,0,0,0,0,0,5871,0
0,0,5348,2,31,0,464,0,298,0,0,8473,0
0,0,5348,2,0,2,0,0,0,0,0,6068,1
1,0,6560,2,32,0,0,341,6,1170,621,3526,0
1,2,528,2,40,0,0,293,0,0,942,185,0
1,0,528,2,42,0,1109,1470,0,980,384,119,1
1,1,528,2,28,0,0,0,0,0,0,4124,1
1,1,2121,2,29,0,0,0,0,0,0,191,1
1,0,151,0,48,1,0,1074,86,17,13,5743,1
0,0,3470,2,64,0,0,0,662,0,0,4015,1
0,0,5364,2,27,0,82,149,374,226,1,5406,0
2,2,3484,2,26,0,0,0,0,0,1306,6675,1
1,0,1314,2,33,0,1,1028,0,12,355,280,1
3,0,0,2,39,0,0,1043,0,65,1242,960,0
1,1,0,2,13,0,0,0,0,0,0,4721,1
2,1,3500,2,24,0,0,0,0,0,1306,1010,1
0,0,5377,2,29,0,0,0,0,572,74,7067,0
0,0,3523,2,18,0,55,467,49,0,1,4052,0
2,1,3524,2,67,0,0,0,0,0,0,5579,1
2,0,2141,2,35,0,566,0,272,0,25,5581,0
2,0,1304,2,61,1,1128,295,9,293,2,3561,0
2,0,2158,2,45,0,1097,6,0,0,0,942,0
0,1,5396,1,22,0,0,0,1115,0,0,6420,1
2,1,3551,2,19,0,0,0,0,0,0,3071,1
2,0,1330,2,36,0,1163,0,0,0,0,2554,0
0,0,5315,2,19,0,0,14,606,0,0,1445,1
0,0,5410,1,47,0,97,347,124,25,55,8473,0
0,1,5330,2,13,0,0,0,0,0,0,2996,1
0,0,1987,3,34,0,0,22,0,469,199,5690,0
1,1,979,0,35,0,0,0,0,0,0,1656,1
0,1,5347,2,24,0,0,0,0,0,0,2918,1
0,0,3550,2,26,0,378,0,0,0,396,8018,0
2,0,3566,2,31,0,1273,0,96,0,0,6396,0
0,0,3579,2,20,0,0,349,202,0,0,3571,1
0,0,5432,2,56,0,0,0,0,0,0,8010,0
0,1,5448,2,50,0,0,0,0,0,0,6864,1
2,0,3578,2,42,0,800,0,10,0,76,1945,0
0,1,5467,0,80,0,0,0,0,0,0,1169,1
0,1,5363,0,38,0,0,0,0,0,0,7033,0
0,0,3594,3,41,0,0,0,0,0,508,537,0
0,0,5395,2,22,0,1234,0,0,0,61,3470,0
1,1,567,2,26,0,0,0,0,0,0,4542,1
1,1,567,2,17,0,0,0,0,0,0,6933,1
0,0,5485,2,57,0,50,930,0,1327,132,2980,1
0,1,5485,1,17,0,0,0,0,0,0,3989,0
2,1,3657,2,35,2,0,0,0,0,0,3520,1
2,1,3632,2,13,0,0,0,0,0,0,5661,1
2,0,3632,2,27,0,924,0,48,22,134,6640,0
0,1,5409,2,31,0,0,0,0,0,0,8122,0
0,0,1410,2,24,0,0,0,0,212,481,5683,0
0,1,5515,1,19,0,0,0,0,0,0,1910,1
0,1,5419,2,32,0,0,0,0,0,0,3696,1
0,2,1425,2,58,0,0,717,0,5,0,3885,1
0,0,3673,0,21,0,265,0,16,113,169,2415,0
1,0,308,2,38,0,0,1462,1,1319,1015,7804,0
2,0,1345,2,38,0,1204,0,158,28,117,8175,0
0,0,5447,2,19,0,1,203,558,2,11,2590,1
0,0,5447,2,0,0,0,0,0,0,0,6515,0
0,0,5447,2,3,0,0,0,0,0,0,6850,1
0,0,5466,2,20,0,0,0,3,279,92,5837,0
1,1,902,2,24,0,0,0,0,0,0,4773,1
0,0,3646,2,37,0,17,140,373,0,219,7249,1
0,0,5484,2,25,0,62,0,0,0,725,1437,0
0,1,5530,2,56,0,0,0,0,0,0,1321,1
0,0,2157,0,49,0,84,3,354,195,98,3816,0
0,1,5545,0,11,0,0,0,0,0,0,8473,0
0,1,5498,2,1,0,0,0,0,0,0,7462,1
0,0,5498,2,8,0,0,0,0,0,0,6667,0
0,0,5498,2,39,0,0,0,10,711,0,4972,0
2,1,3707,2,2,0,0,0,0,0,0,7194,1
2,0,3707,2,23,0,1273,0,8,770,0,3133,0
2,0,3707,2,0,0,0,0,0,0,0,3419,1
2,0,3728,2,39,0,351,0,696,0,0,934,1
2,0,1329,1,25,0,792,0,599,0,7,1476,0
1,0,961,2,36,0,0,711,0,650,487,828,0
0,2,5514,1,52,0,0,0,0,0,0,4288,1
0,1,5558,2,18,0,0,0,0,0,0,6550,0
0,1,5529,2,15,0,0,0,0,0,0,2648,1
1,1,462,2,35,0,0,0,0,0,0,4549,1
1,1,462,2,47,0,0,0,0,0,0,2524,1
1,1,583,0,45,0,0,0,0,0,0,6322,1
1,0,23,0,80,0,0,1059,1115,701,382,7988,1
1,1,1006,2,51,0,0,0,0,0,0,517,1
0,0,5570,2,29,0,0,2,66,0,580,1533,0
1,0,1022,0,80,0,2,933,12,782,120,6013,1
0,1,5544,1,19,0,0,0,0,0,0,7704,0
3,1,1344,0,24,0,0,0,1115,0,0,752,1
2,0,3762,2,29,0,713,1,135,0,0,6179,1
2,1,3762,2,11,0,0,0,0,0,0,1943,1
2,0,3762,2,17,0,674,0,282,176,0,6268,0
0,0,2169,2,13,0,185,0,0,51,605,4031,0
0,0,3775,2,35,0,143,178,0,10,341,7014,0
0,0,3789,2,21,0,321,256,0,0,143,1502,0
0,0,3697,0,21,0,0,56,0,0,977,6958,0
0,0,3805,2,38,0,967,0,0,27,0,6365,0
0,1,5600,2,19,0,0,0,0,0,0,5960,1
0,1,5615,2,2,0,0,0,0,0,0,7903,1
0,0,5615,2,0,0,0,0,0,0,0,8223,1
0,1,5615,2,13,0,0,0,0,0,0,1302,0
0,0,1409,2,25,0,120,82,1115,0,0,2366,0
0,0,3818,2,16,0,0,3,0,0,773,7995,0
0,0,5615,0,1,0,0,0,0,0,0,8229,0
0,1,5615,2,15,0,0,0,0,0,0,3606,1
2,0,1454,0,21,0,1116,0,117,0,0,1956,0
2,0,1454,2,23,0,863,78,1,2,0,8385,0
2,0,1454,2,33,0,1062,12,182,1,0,4153,0
2,1,1454,2,21,0,0,0,0,0,0,2547,1
2,0,1454,2,41,0,873,0,277,43,750,6115,0
2,0,1454,2,16,0,721,0,212,222,0,3508,0
2,1,1454,2,42,0,0,0,0,0,0,6676,0
2,0,3708,2,20,0,939,0,0,11,0,3431,0
2,1,3708,2,24,0,0,0,0,0,0,1882,1
2,1,1468,2,16,0,0,0,0,0,0,3500,1
0,0,5586,2,21,0,0,2,552,0,9,2923,0
2,0,3729,2,32,1,176,0,5,929,0,1220,0
0,1,5630,1,58,0,0,0,0,0,0,1526,1
0,0,3746,2,24,0,4,7,0,582,79,2358,0
2,0,3763,2,30,0,85,0,1,947,0,4770,0
0,1,5601,1,27,0,0,1507,0,0,0,5958,0
2,0,3776,2,32,0,56,0,239,874,0,7541,0
0,0,3845,2,43,0,1273,669,0,0,0,4642,0
1,1,166,2,42,0,0,0,0,0,0,8188,1
2,0,6560,2,37,0,522,0,0,92,284,2298,0
2,1,3872,2,35,0,0,0,0,0,0,6389,1
1,2,1424,0,33,0,0,795,0,1222,779,132,0
3,0,3790,2,18,0,285,1,573,264,0,377,0
0,1,5616,2,21,0,0,0,0,0,0,4974,0
2,1,6560,2,43,0,0,0,0,0,0,3138,1
2,1,3806,0,14,2,0,0,0,0,0,7832,1
1,0,978,0,46,0,0,1205,0,0,7,3397,1
1,0,978,2,33,0,0,84,655,483,1286,520,0
2,0,1377,2,21,0,1176,0,265,27,0,5456,0
1,0,599,2,33,0,0,1,0,1293,763,3260,0
0,1,5631,1,47,0,1273,0,0,0,0,1440,0
3,1,613,0,54,0,0,0,0,0,0,2310,1
0,0,3888,2,30,0,300,533,452,0,0,4859,0
0,0,5686,2,29,0,254,480,0,0,1,2139,0
0,0,3903,2,21,0,567,163,359,2,6,6424,1
1,1,44,2,24,0,0,0,0,0,0,792,1
2,0,3832,0,21,0,1000,0,1115,0,0,2876,0
2,1,3832,2,60,0,0,0,0,0,0,7207,1
0,0,3846,2,22,0,0,0,287,279,92,3038,0
1,0,1497,2,26,0,0,1319,0,740,1004,6967,0
0,0,3932,2,26,0,66,29,0,0,652,2382,0
0,1,5702,2,28,0,0,0,0,0,0,5247,1
1,1,1378,2,39,0,0,0,0,1327,0,2894,1
0,0,3858,2,13,0,117,0,0,619,1,4979,0
0,0,3873,0,47,0,0,215,488,0,0,4914,1
0,0,3973,2,63,0,0,25,126,0,821,1584,0
1,1,1392,0,80,0,0,0,0,0,0,7566,1
0,0,4003,0,50,0,44,1051,0,53,0,1405,1
0,0,6560,2,35,0,0,0,0,706,1306,4503,0
0,0,5731,2,45,0,0,94,0,14,297,5320,0
0,0,4026,2,19,0,0,0,1005,0,0,2234,1
0,0,3904,2,21,0,0,686,0,0,0,7939,1
0,1,5748,1,29,0,0,0,0,0,0,4160,1
0,0,4040,2,22,0,142,505,1,0,2,6743,1
1,1,1496,2,14,0,0,0,0,0,0,4751,1
1,1,1496,0,42,0,0,0,0,0,0,3512,1
0,0,4055,0,57,0,3,805,29,158,13,1500,0
1,1,6560,0,39,0,0,0,0,0,0,7616,1
1,0,184,2,28,0,0,458,32,6,887,139,0
0,0,3917,0,19,0,0,0,0,0,667,3472,0
1,1,630,0,19,0,0,0,0,0,0,3166,1
1,0,556,0,26,0,0,1286,0,790,244,7112,1
1,1,556,2,17,0,0,0,0,0,0,260,1
1,2,556,2,43,0,0,0,0,0,0,2253,1
1,0,556,0,9,0,0,0,0,0,0,834,1
1,0,1037,2,40,0,0,1381,87,773,0,1569,1
1,1,568,2,50,0,0,0,0,1327,0,6263,1
0,0,5763,2,24,0,90,2,862,17,0,2857,1
1,1,43,0,57,0,0,0,0,0,0,797,1
0,1,6560,2,16,0,0,0,0,0,0,5314,0
0,0,4080,2,23,0,0,0,15,0,861,4932,0
3,1,5674,2,23,0,0,0,0,0,0,6085,1
1,0,1526,2,28,0,0,351,0,974,1205,1122,0
1,0,991,0,23,0,0,455,0,20,1060,7355,0
0,0,1542,2,23,0,322,166,242,1,101,2372,0
0,0,3974,2,18,0,0,0,874,0,0,5873,1
0,0,3990,2,18,0,854,0,154,6,0,1167,0
1,0,6560,2,67,0,1273,214,0,1203,228,5890,0
0,0,4093,1,60,0,7,426,1,0,4,1379,1
0,1,5799,0,80,0,0,0,1115,0,0,4424,1
0,0,4093,0,49,0,297,0,0,295,0,4172,1
0,0,5799,0,0,0,0,0,0,0,0,3741,1
0,0,5817,0,26,0,334,0,73,0,845,4651,0
3,1,5687,1,35,0,0,0,0,0,0,81,1
1,0,584,2,24,0,0,1086,1115,164,0,3663,1
1,1,584,2,20,0,0,0,0,0,1306,1046,1
0,0,5717,2,18,0,0,2,0,1327,0,1338,0
0,0,5717,2,21,0,0,5,3,0,1306,3203,0
3,0,4004,2,59,1,776,0,201,0,0,6416,0
0,1,5732,1,13,0,0,0,0,0,0,626,0
0,1,5847,0,43,0,0,0,0,0,0,1532,0
0,1,5764,2,29,0,0,0,0,0,0,1666,0
0,0,6560,2,19,0,17,0,644,0,2,4213,1
1,0,655,2,2,0,0,0,0,0,0,1025,1
1,0,655,2,32,0,234,1307,0,46,196,8473,1
1,0,655,2,33,0,380,284,0,145,827,3795,0
0,0,4152,2,25,0,0,0,234,0,468,4950,0
2,1,4164,0,29,0,0,0,0,0,0,6260,1
2,0,4014,2,29,0,1252,2,203,886,0,7930,0
0,0,4177,2,44,0,561,1,16,0,0,5408,0
2,1,4027,0,2,0,0,0,0,0,0,3579,1
2,0,4027,2,19,0,358,304,525,3,759,8246,1
2,0,4027,0,0,0,0,0,0,0,0,8473,1
0,1,5781,2,18,0,0,0,1115,0,0,4062,1
1,1,152,0,38,0,0,0,0,0,0,6206,1
0,1,5912,1,5,0,0,0,0,0,0,5101,0
0,0,4207,1,31,0,119,0,0,257,706,5509,0
2,1,1571,2,30,0,0,0,0,0,0,1092,0
0,1,5941,0,15,0,0,0,0,0,0,5206,1
2,0,4041,2,27,0,373,0,888,0,0,1952,0
2,0,1066,2,22,0,139,1114,195,3,0,7333,1
2,2,6560,2,36,0,434,0,971,0,0,8179,1
0,1,5956,1,14,0,0,0,0,0,0,5080,1
2,0,4236,2,23,0,1079,0,1071,0,0,3906,0
0,1,6560,2,18,0,0,0,0,0,0,7860,1
1,1,231,0,36,0,0,0,0,0,0,6225,1
0,0,4056,2,41,0,1273,781,0,121,485,2542,0
0,1,5800,2,50,0,0,0,0,0,0,6694,1
0,1,5800,1,32,0,0,0,0,0,0,2086,1
0,0,4066,1,26,0,144,0,393,0,88,1603,0
0,0,4081,2,15,0,314,196,33,0,111,2577,0
0,0,4094,0,33,0,0,36,0,262,361,8054,1
0,0,5818,0,80,0,0,0,0,561,21,2073,0
2,0,4298,2,26,0,1171,103,1090,15,4,6583,0
2,1,4298,2,61,0,0,0,0,0,0,968,1
0,0,5848,2,24,0,0,0,488,171,58,8021,1
0,0,4308,2,30,0,0,92,0,382,750,7739,0
2,1,4322,2,24,0,0,0,0,0,0,1752,1
0,0,4335,2,24,0,0,5,0,1085,0,8473,0
0,1,5987,2,41,0,0,0,0,0,0,1156,0
0,0,1585,2,20,0,0,0,466,0,218,5168,0
0,0,5866,2,22,0,116,0,646,6,0,3102,1
1,0,674,0,63,0,0,744,0,170,1265,8264,0
1,0,167,0,18,0,17,199,4,1236,573,1298,0
1,1,167,0,21,0,0,0,0,0,0,5301,1
1,0,167,2,79,0,1250,217,7,1064,1023,5870,0
1,1,167,2,56,0,0,0,0,0,0,5777,1
1,1,167,2,13,0,0,0,0,0,0,6311,1
1,0,167,2,33,0,0,1066,6,795,760,7154,0
1,1,167,2,32,0,0,0,0,0,0,23,1
0,0,5999,2,31,0,190,0,487,0,161,1385,1
1,1,6560,0,26,0,0,0,0,0,0,8462,1
1,1,246,0,18,0,0,0,0,0,0,5539,1
1,1,246,0,38,0,0,0,1115,0,0,817,1
3,0,6014,3,23,0,306,0,0,4,326,1201,0
0,0,5883,2,28,0,82,589,0,1157,137,6242,0
0,1,5883,1,34,0,0,0,0,0,0,2929,0
0,0,5898,0,0,0,0,0,0,0,0,1845,1
0,0,5898,2,14,0,3,0,709,25,0,2697,1
0,0,6032,2,23,0,13,570,0,0,126,7471,0
0,1,6049,2,49,0,0,0,0,0,0,8000,0
0,1,5913,2,14,0,0,0,0,0,0,2973,0
0,0,1595,2,18,0,339,44,322,0,0,2586,0
1,0,1021,1,27,1,69,1357,0,0,738,2052,1
0,0,1609,2,48,0,0,107,0,900,0,8127,0
1,0,262,0,31,1,0,1464,462,1288,1221,5524,0
1,0,262,0,61,0,1,476,0,1165,1,3647,0
0,1,5942,2,18,0,0,0,0,0,0,1383,1
2,1,4105,2,45,0,0,0,0,0,0,3534,1
2,0,1084,2,22,0,28,349,36,1258,3,8088,0
2,0,1096,2,30,1,794,0,0,0,0,5150,0
2,0,1096,2,30,0,1030,0,0,13,0,6127,0
3,1,1114,0,32,1,0,0,0,0,0,7582,1
2,0,1083,2,43,1,309,674,0,0,2,6394,1
0,0,4393,0,17,0,172,1507,0,289,7,2206,0
0,0,6094,2,23,0,1273,21,0,0,945,2088,0
0,0,4407,2,20,0,0,379,0,5,211,5167,0
0,1,6094,2,39,0,0,0,0,0,0,2224,0
2,0,1625,2,35,0,828,109,52,0,0,2045,0
2,0,4136,2,31,0,0,0,806,2,0,5402,0
0,0,4153,0,21,0,0,143,0,472,0,7914,0
0,0,4422,2,16,0,559,0,100,137,0,1070,0
1,0,612,2,60,0,0,1401,1101,908,0,977,1
0,0,4439,2,18,0,0,149,0,320,60,2674,0
0,1,5957,2,42,0,0,0,0,0,0,4040,0
1,1,277,0,68,0,0,0,0,0,0,4923,1
1,0,277,0,22,0,0,771,0,1246,822,5642,0
1,1,277,2,59,0,0,0,0,0,0,2778,1
1,0,293,2,80,0,8,1208,0,13,57,7413,1
2,0,4498,2,37,0,809,2,26,34,1,1217,0
2,1,4498,2,3,0,0,0,0,0,0,1961,1
2,1,4498,2,31,0,0,0,0,0,0,6545,1
1,0,1639,2,31,0,358,1507,1108,467,643,259,1
1,0,692,2,29,0,0,1259,0,584,1103,1662,1
1,0,70,0,20,0,2,1460,0,2,213,95,1
1,1,70,0,46,0,0,0,0,0,0,7520,1
0,0,4194,2,29,0,0,732,0,16,0,2650,1
2,1,4513,2,43,0,0,0,0,0,0,3132,1
2,0,4208,2,17,0,961,10,0,0,0,1478,0
1,2,309,0,27,0,0,0,0,0,0,3788,1
1,0,309,2,47,0,4,672,0,1103,1136,5858,0
2,1,4223,2,45,0,0,0,0,0,0,6727,1
0,1,5988,2,17,0,0,0,0,0,0,339,1
0,0,6000,0,10,0,0,0,0,0,0,6848,1
0,0,6000,1,56,0,46,11,0,511,0,4975,0
0,0,4237,2,39,0,332,0,22,403,0,5200,0
0,0,4237,1,40,0,7,0,678,26,0,2174,0
1,1,199,2,40,0,1273,0,0,0,0,2486,1
1,0,644,0,34,0,1273,1354,45,991,56,4123,0
0,0,4252,0,32,0,0,0,0,591,0,5068,0
0,0,4524,2,35,0,7,737,0,0,0,2652,0
2,0,1113,2,32,1,1139,355,101,0,0,1449,0
3,0,4540,2,26,1,1047,0,134,0,0,1866,0
0,0,4270,2,25,0,920,0,0,24,648,5089,0
3,0,1626,2,26,0,0,0,0,77,587,6609,0
1,1,326,0,22,0,0,0,0,0,0,3631,1
0,0,4281,2,22,0,9,0,654,0,0,3027,1
0,0,1656,2,24,0,611,0,0,32,0,2607,0
0,1,6122,1,32,0,0,0,0,0,0,8473,1
0,1,6015,2,11,0,0,0,0,0,0,5884,1
2,1,1640,2,22,0,0,0,0,0,0,7399,1
1,1,214,2,19,0,0,0,0,0,0,209,1
1,1,6560,0,34,0,0,0,0,0,0,5618,1
1,1,214,2,74,0,0,0,0,0,0,8258,1
1,2,232,0,28,1,5,1269,0,610,5,7439,1
1,1,232,2,42,0,0,0,0,0,0,2893,1
1,1,232,2,43,0,0,0,0,0,0,3669,1
0,0,4309,2,55,0,201,175,182,59,73,5142,0
0,0,6134,1,19,0,0,0,619,26,0,4894,1
0,1,6134,2,6,0,0,0,0,0,0,6849,0
0,0,6134,2,7,0,0,0,0,0,0,4406,0
1,1,1125,0,28,0,0,0,0,0,0,8413,1
0,0,4323,2,15,0,1104,0,0,59,2,3718,0
0,1,6033,1,24,0,0,0,0,0,0,7056,1
0,0,1657,1,31,0,0,658,0,0,0,7035,1
0,0,4336,2,22,0,0,69,176,503,20,8141,1
0,0,6050,0,1,0,0,0,0,0,0,4869,1
0,1,6066,3,50,0,0,0,0,0,0,6691,0
2,0,2189,2,34,0,688,0,240,1327,35,3518,0
2,0,2189,2,14,0,726,647,80,0,0,3052,0
0,0,1669,2,19,0,4,10,0,797,370,2148,0
0,0,1669,2,80,0,0,505,22,143,4,4789,1
0,0,2209,2,36,0,0,0,694,1,1,860,0
0,1,6560,2,34,0,0,0,0,0,0,3748,0
2,1,4353,0,25,0,0,0,0,0,1306,686,1
3,1,4353,2,36,0,0,0,0,0,0,4531,1
1,0,341,2,16,0,0,45,2,1237,165,810,0
1,0,341,0,30,0,0,1419,0,0,4,4120,1
0,0,4367,1,37,0,0,10,455,9,268,7280,0
0,1,6095,0,15,0,0,0,0,0,0,5966,1
0,0,1682,2,36,0,0,0,38,9,718,2091,0
2,0,2235,1,27,0,1273,6,143,141,0,1953,0
2,1,2235,2,27,0,0,0,0,0,0,1257,1
2,1,2235,2,12,0,0,0,0,0,0,983,1
0,0,1698,2,22,0,0,5,0,926,0,1068,0
0,0,6165,2,27,0,1273,34,23,0,253,1758,0
0,1,6109,2,13,0,0,0,0,0,0,3288,1
0,0,1670,2,27,0,0,114,0,5,552,624,0
0,0,4381,2,28,0,0,14,0,0,515,4087,0
1,0,263,0,21,0,0,33,0,1134,55,3158,0
1,2,734,2,39,0,168,953,12,1196,230,6801,0
0,1,6195,1,28,0,0,0,1115,0,0,1721,0
0,1,6123,2,14,0,0,0,0,0,0,3701,1
1,1,6560,0,27,0,0,1507,0,0,0,974,1
1,1,278,0,46,0,0,0,0,1327,0,4600,1
2,1,4394,0,27,0,0,0,0,0,0,2519,1
2,0,1683,2,21,0,0,0,0,0,0,8384,0
2,0,1169,0,21,0,429,0,950,82,0,6101,1
1,0,1726,2,42,0,0,692,752,1327,412,3641,0
2,0,6560,2,22,0,10,0,669,404,0,6275,0
2,0,4408,2,10,0,0,0,0,0,0,3193,1
2,0,4408,2,43,0,1038,0,47,29,0,7811,0
2,0,1714,2,42,0,882,35,16,0,0,6285,0
1,1,294,0,18,0,0,0,0,0,0,7630,1
1,1,294,0,54,0,0,0,0,0,0,5644,1
1,1,294,3,24,0,0,0,0,0,0,7295,1
1,0,294,2,64,0,0,937,11,352,614,7525,0
1,1,294,0,18,0,0,0,0,0,0,905,1
3,1,294,0,53,0,0,0,0,0,0,282,1
2,1,4423,2,23,0,0,0,0,0,0,4545,1
0,0,6166,2,39,0,0,0,0,0,0,4784,1
1,0,691,2,59,0,0,1494,0,299,0,831,1
1,0,1153,0,32,0,0,1360,0,59,120,6800,1
1,1,1153,2,55,0,0,0,0,0,0,587,1
0,1,6220,1,21,0,0,0,0,0,0,6535,1
1,1,310,2,50,0,0,0,0,0,0,428,1
1,0,90,0,55,0,113,1067,41,0,1052,8034,0
0,0,2314,2,80,0,951,0,1,2,73,4184,0
3,1,4440,2,35,0,0,0,0,0,0,7182,1
0,1,6208,2,80,0,0,0,0,0,0,6758,1
0,0,6221,2,55,0,62,1507,0,0,1306,1020,0
0,0,1727,2,23,0,39,242,0,0,1306,3871,1
0,0,1741,2,42,0,0,0,620,0,153,3391,0
0,0,1742,2,35,0,458,197,948,0,6,3805,1
0,1,6560,2,47,0,0,0,0,0,0,8233,1
2,0,4453,0,80,0,840,11,3,0,4,7386,0
2,1,4453,2,34,0,0,0,0,0,0,5037,1
1,0,703,2,46,0,0,757,0,1137,1240,138,0
0,1,6266,1,26,0,0,0,0,0,0,2803,0
0,1,6281,0,1,0,0,0,0,0,0,2890,0
0,1,6281,0,80,0,0,0,0,0,0,2100,1
2,0,1194,2,33,0,20,0,342,462,0,7809,0
